FechaEnvio,NumeroFacturaDeCargos,NumeroDePago,CargosTotales,Creditos,MontoDeEnvio,TotalDelEnvio,MontoDelDescuento,CuotasEIncentivos,MontoDePago,IdAfiliacion,Número de establecimiento que envía,SucursalQueEnvia,ConteoDeTransacciones,FechaPago,NombreSucursal,IVA,Descripcion,FechaTransaccion,NumeroDeMensualidades
2026-04-29,1490,31205653, 239.90, 0.00, 239.90, 239.90,( 2.64), 0.00, 236.84,7464542802,7464542802,,1,2026-05-05,BOLICHE,( 0.42),,2026-04-29,0
2026-04-29,1491,31205653," 6,803.00", 0.00," 6,803.00"," 6,803.00",( 74.83), 0.00," 6,716.20",7464542802,7464542802,,5,2026-05-05,BOLICHE,( 11.97),,2026-04-29,0
2026-04-28,114,31207036," 1,802.51", 0.00," 1,802.51"," 1,802.51",( 19.83), 0.00," 1,779.51",7469540645,7469540645,,1,2026-05-05,CHAMPOTON MALECON,( 3.17),,2026-04-29,0
2026-04-29,55,31207064," 1,754.17", 0.00," 1,754.17"," 1,754.17",( 19.30), 0.00," 1,731.78",7469546899,7469546899,,1,2026-05-05,PUERTO REAL,( 3.09),,2026-04-29,0
2026-04-28,76,41206317," 1,858.35", 0.00," 1,858.35"," 1,858.35",( 20.44), 0.00," 1,834.64",8487957920,8487957920,,1,2026-05-05,KANISTE,( 3.27),,2026-04-29,0
2026-04-28,121,41206318," 4,449.04", 0.00," 4,449.04"," 4,449.04",( 48.94), 0.00," 4,392.27",8487957953,8487957953,,3,2026-05-05,CHAMPOTON 2,( 7.83),,2026-04-29,0
2026-04-29,122,41206318," 1,109.43", 0.00," 1,109.43"," 1,109.43",( 12.20), 0.00," 1,095.28",8487957953,8487957953,,1,2026-05-05,CHAMPOTON 2,( 1.95),,2026-04-29,0
2026-04-28,116,41206333," 6,460.57", 0.00," 6,460.57"," 6,460.57",( 71.07), 0.00," 6,378.13",8488075888,8488075888,,7,2026-05-05,NOVIA DEL MAR,( 11.37),,2026-04-29,0
2026-04-29,117,41206333," 1,849.22", 0.00," 1,849.22"," 1,849.22",( 20.34), 0.00," 1,825.63",8488075888,8488075888,,1,2026-05-05,NOVIA DEL MAR,( 3.25),,2026-04-29,0
2026-04-29,118,41206333, 194.18, 0.00, 194.18, 194.18,( 2.14), 0.00, 191.70,8488075888,8488075888,,1,2026-05-05,NOVIA DEL MAR,( 0.34),,2026-04-29,0
2026-04-28,239,41206335, 497.92, 0.00, 497.92, 497.92,( 5.48), 0.00, 491.56,8488076035,8488076035,,1,2026-05-05,BENITO,( 0.88),,2026-04-29,0
2026-04-29,87,41206559," 3,867.20", 0.00," 3,867.20"," 3,867.20",( 42.54), 0.00," 3,817.85",8489189027,8489189027,,3,2026-05-05,AVENIDA CENTRAL,( 6.81),,2026-04-29,0
2026-04-28,41,41206560, 827.15, 0.00, 827.15, 827.15,( 9.10), 0.00, 816.59,8489189142,8489189142,,1,2026-05-05,CASA DE JUSTICIA,( 1.46),,2026-04-29,0
2026-04-29,4,41206566," 30,500.00", 0.00," 30,500.00"," 30,500.00",( 335.50), 0.00," 30,110.82",8489278820,8489278820,,2,2026-05-05,FRONTERA,( 53.68),,2026-04-29,0
2026-04-27,1487,31196732," 1,457.70", 0.00," 1,457.70"," 1,457.70",( 16.03), 0.00," 1,439.10",7464542802,7464542802,,2,2026-05-04,BOLICHE,( 2.57),,2026-04-28,0
2026-04-28,1488,31196732," 10,910.40", 0.00," 10,910.40"," 10,910.40",( 120.01), 0.00," 10,771.19",7464542802,7464542802,,10,2026-05-04,BOLICHE,( 19.20),,2026-04-28,0
2026-04-28,1489,31196732," 2,721.22", 0.00," 2,721.22"," 2,721.22",( 29.93), 0.00," 2,686.50",7464542802,7464542802,,2,2026-05-04,BOLICHE,( 4.79),,2026-04-29,0
2026-04-28,2,31196733," 1,160.07", 0.00," 1,160.07"," 1,160.07",( 12.76), 0.00," 1,145.27",7464542810,7464542810,,2,2026-05-04,POMUCH,( 2.04),,2026-04-28,0
2026-04-28,3,31196733," 1,198.83", 0.00," 1,198.83"," 1,198.83",( 13.19), 0.00," 1,183.53",7464542810,7464542810,,1,2026-05-04,POMUCH,( 2.11),,2026-04-28,0
2026-04-27,53,31198359," 1,779.24", 0.00," 1,779.24"," 1,779.24",( 19.57), 0.00," 1,756.54",7469546899,7469546899,,1,2026-05-04,PUERTO REAL,( 3.13),,2026-04-28,0
2026-04-28,54,31198359, 700.00, 0.00, 700.00, 700.00,( 7.70), 0.00, 691.07,7469546899,7469546899,,2,2026-05-04,PUERTO REAL,( 1.23),,2026-04-28,0
2026-04-27,75,51190027," 1,706.65", 0.00," 1,706.65"," 1,706.65",( 18.77), 0.00," 1,684.88",8487957920,8487957920,,1,2026-05-04,KANISTE,( 3.00),,2026-04-28,0
2026-04-28,119,51190028," 1,492.57", 0.00," 1,492.57"," 1,492.57",( 16.42), 0.00," 1,473.52",8487957953,8487957953,,1,2026-05-04,CHAMPOTON 2,( 2.63),,2026-04-28,0
2026-04-28,120,51190028," 4,449.94", 0.00," 4,449.94"," 4,449.94",( 48.95), 0.00," 4,393.16",8487957953,8487957953,,3,2026-05-04,CHAMPOTON 2,( 7.83),,2026-04-28,0
2026-04-27,46,51190029," 1,567.95", 0.00," 1,567.95"," 1,567.95",( 17.25), 0.00," 1,547.94",8487957995,8487957995,,1,2026-05-04,SABANCUY,( 2.76),,2026-04-28,0
2026-04-28,15,51190047, 700.00, 0.00, 700.00, 700.00,( 7.70), 0.00, 691.07,8488075847,8488075847,,1,2026-05-04,HEROES,( 1.23),,2026-04-28,0
2026-04-28,16,51190047, 500.00, 0.00, 500.00, 500.00,( 5.50), 0.00, 493.62,8488075847,8488075847,,1,2026-05-04,HEROES,( 0.88),,2026-04-29,0
2026-04-27,115,51190048, 959.60, 0.00, 959.60, 959.60,( 10.56), 0.00, 947.35,8488075888,8488075888,,1,2026-05-04,NOVIA DEL MAR,( 1.69),,2026-04-28,0
2026-04-28,238,51190050, 479.80, 0.00, 479.80, 479.80,( 5.28), 0.00, 473.68,8488076035,8488076035,,1,2026-05-04,BENITO,( 0.84),,2026-04-28,0
2026-04-28,52,51190287," 4,979.59", 0.00," 4,979.59"," 4,979.59",( 54.78), 0.00," 4,916.05",8489189068,8489189068,,3,2026-05-04,SUBTENIENTE,( 8.76),,2026-04-28,0
2026-04-28,53,51190287, 800.07, 0.00, 800.07, 800.07,( 8.80), 0.00, 789.86,8489189068,8489189068,,1,2026-05-04,SUBTENIENTE,( 1.41),,2026-04-29,0
2026-04-28,3,51190315," 4,868.10", 0.00," 4,868.10"," 4,868.10",( 53.55), 0.00," 4,805.98",8489278820,8489278820,,4,2026-05-04,FRONTERA,( 8.57),,2026-04-28,0
2026-04-27,1485,31185672, 500.00, 0.00, 500.00, 500.00,( 5.50), 0.00, 493.62,7464542802,7464542802,,1,2026-04-30,BOLICHE,( 0.88),,2026-04-27,0
2026-04-27,1486,31185672," 3,558.86", 0.00," 3,558.86"," 3,558.86",( 39.15), 0.00," 3,513.45",7464542802,7464542802,,3,2026-04-30,BOLICHE,( 6.26),,2026-04-27,0
2026-04-27,52,31187040, 500.00, 0.00, 500.00, 500.00,( 5.50), 0.00, 493.62,7469546899,7469546899,,1,2026-04-30,PUERTO REAL,( 0.88),,2026-04-27,0
2026-04-27,73,41186360, 277.00, 0.00, 277.00, 277.00,( 3.05), 0.00, 273.46,8487957920,8487957920,,1,2026-04-30,KANISTE,( 0.49),,2026-04-27,0
2026-04-27,74,41186360," 1,809.69", 0.00," 1,809.69"," 1,809.69",( 19.91), 0.00," 1,786.59",8487957920,8487957920,,2,2026-04-30,KANISTE,( 3.19),,2026-04-27,0
2026-04-26,118,41186361, 200.00, 0.00, 200.00, 200.00,( 2.20), 0.00, 197.45,8487957953,8487957953,,1,2026-04-30,CHAMPOTON 2,( 0.35),,2026-04-27,0
2026-04-27,45,41186362," 1,200.00", 0.00," 1,200.00"," 1,200.00",( 13.20), 0.00," 1,184.69",8487957995,8487957995,,1,2026-04-30,SABANCUY,( 2.11),,2026-04-27,0
2026-04-27,236,41186379," 1,969.70", 0.00," 1,969.70"," 1,969.70",( 21.67), 0.00," 1,944.56",8488076035,8488076035,,2,2026-04-30,BENITO,( 3.47),,2026-04-27,0
2026-04-27,237,41186379, 82.67, 0.00, 82.67, 82.67,( 0.91), 0.00, 81.61,8488076035,8488076035,,1,2026-04-30,BENITO,( 0.15),,2026-04-27,0
2026-04-27,86,41186577," 1,051.25", 0.00," 1,051.25"," 1,051.25",( 11.56), 0.00," 1,037.84",8489189027,8489189027,,1,2026-04-30,AVENIDA CENTRAL,( 1.85),,2026-04-27,0
2026-04-26,51,41186578," 1,172.99", 0.00," 1,172.99"," 1,172.99",( 12.90), 0.00," 1,158.03",8489189068,8489189068,,1,2026-04-30,SUBTENIENTE,( 2.06),,2026-04-27,0
2026-04-27,40,41186579," 4,756.68", 0.00," 4,756.68"," 4,756.68",( 52.32), 0.00," 4,695.99",8489189142,8489189142,,3,2026-04-30,CASA DE JUSTICIA,( 8.37),,2026-04-27,0
2026-04-23,1476,31177022," 4,747.10", 0.00," 4,747.10"," 4,747.10",( 52.22), 0.00," 4,686.53",7464542802,7464542802,,4,2026-04-29,BOLICHE,( 8.35),,2026-04-24,0
2026-04-24,1477,31177022, 150.00, 0.00, 150.00, 150.00,( 1.65), 0.00, 148.09,7464542802,7464542802,,1,2026-04-29,BOLICHE,( 0.26),,2026-04-24,0
2026-04-24,1478,31177022," 6,280.70", 0.00," 6,280.70"," 6,280.70",( 69.09), 0.00," 6,200.56",7464542802,7464542802,,5,2026-04-29,BOLICHE,( 11.05),,2026-04-24,0
2026-04-24,1479,31177022," 6,343.03", 0.00," 6,343.03"," 6,343.03",( 69.77), 0.00," 6,262.10",7464542802,7464542802,,6,2026-04-29,BOLICHE,( 11.16),,2026-04-25,0
2026-04-25,1480,31177022," 2,803.65", 0.00," 2,803.65"," 2,803.65",( 30.84), 0.00," 2,767.88",7464542802,7464542802,,3,2026-04-29,BOLICHE,( 4.93),,2026-04-25,0
2026-04-25,1481,31177022," 5,647.87", 0.00," 5,647.87"," 5,647.87",( 62.13), 0.00," 5,575.80",7464542802,7464542802,,4,2026-04-29,BOLICHE,( 9.94),,2026-04-26,0
2026-04-26,1482,31177022," 3,112.10", 0.00," 3,112.10"," 3,112.10",( 34.23), 0.00," 3,072.39",7464542802,7464542802,,5,2026-04-29,BOLICHE,( 5.48),,2026-04-26,0
2026-04-26,1483,31177022," 3,486.41", 0.00," 3,486.41"," 3,486.41",( 38.35), 0.00," 3,441.92",7464542802,7464542802,,3,2026-04-29,BOLICHE,( 6.14),,2026-04-26,0
2026-04-26,1484,31177022," 2,780.00", 0.00," 2,780.00"," 2,780.00",( 30.58), 0.00," 2,744.53",7464542802,7464542802,,3,2026-04-29,BOLICHE,( 4.89),,2026-04-27,0
2026-04-26,1,31177023," 1,000.00", 0.00," 1,000.00"," 1,000.00",( 11.00), 0.00, 987.24,7464542810,7464542810,,1,2026-04-29,POMUCH,( 1.76),,2026-04-26,0
2026-04-23,111,31178688, 960.03, 0.00, 960.03, 960.03,( 10.56), 0.00, 947.78,7469540645,7469540645,,1,2026-04-29,CHAMPOTON MALECON,( 1.69),,2026-04-24,0
2026-04-24,112,31178688, 404.66, 0.00, 404.66, 404.66,( 4.45), 0.00, 399.50,7469540645,7469540645,,1,2026-04-29,CHAMPOTON MALECON,( 0.71),,2026-04-25,0
2026-04-25,113,31178688," 1,486.94", 0.00," 1,486.94"," 1,486.94",( 16.36), 0.00," 1,467.96",7469540645,7469540645,,1,2026-04-29,CHAMPOTON MALECON,( 2.62),,2026-04-25,0
2026-04-23,51,31178714," 4,088.50", 0.00," 4,088.50"," 4,088.50",( 44.97), 0.00," 4,036.33",7469546899,7469546899,,3,2026-04-29,PUERTO REAL,( 7.20),,2026-04-24,0
2026-04-24,71,51170624, 95.96, 0.00, 95.96, 95.96,( 1.06), 0.00, 94.73,8487957920,8487957920,,1,2026-04-29,KANISTE,( 0.17),,2026-04-24,0
2026-04-25,72,51170624, 250.00, 0.00, 250.00, 250.00,( 2.75), 0.00, 246.81,8487957920,8487957920,,1,2026-04-29,KANISTE,( 0.44),,2026-04-26,0
2026-04-24,116,51170625," 1,214.37", 0.00," 1,214.37"," 1,214.37",( 13.36), 0.00," 1,198.87",8487957953,8487957953,,1,2026-04-29,CHAMPOTON 2,( 2.14),,2026-04-25,0
2026-04-25,117,51170625, 600.22, 0.00, 600.22, 600.22,( 6.60), 0.00, 592.56,8487957953,8487957953,,1,2026-04-29,CHAMPOTON 2,( 1.06),,2026-04-25,0
2026-04-23,110,51170652," 2,300.21", 0.00," 2,300.21"," 2,300.21",( 25.30), 0.00," 2,270.86",8488075888,8488075888,,4,2026-04-29,NOVIA DEL MAR,( 4.05),,2026-04-24,0
2026-04-24,111,51170652, 850.00, 0.00, 850.00, 850.00,( 9.35), 0.00, 839.15,8488075888,8488075888,,1,2026-04-29,NOVIA DEL MAR,( 1.50),,2026-04-24,0
2026-04-25,112,51170652, 746.66, 0.00, 746.66, 746.66,( 8.21), 0.00, 737.14,8488075888,8488075888,,1,2026-04-29,NOVIA DEL MAR,( 1.31),,2026-04-25,0
2026-04-25,113,51170652, 50.00, 0.00, 50.00, 50.00,( 0.55), 0.00, 49.36,8488075888,8488075888,,1,2026-04-29,NOVIA DEL MAR,( 0.09),,2026-04-26,0
2026-04-26,114,51170652," 4,653.15", 0.00," 4,653.15"," 4,653.15",( 51.18), 0.00," 4,593.78",8488075888,8488075888,,5,2026-04-29,NOVIA DEL MAR,( 8.19),,2026-04-26,0
2026-04-23,234,51170654, 829.80, 0.00, 829.80, 829.80,( 9.13), 0.00, 819.21,8488076035,8488076035,,2,2026-04-29,BENITO,( 1.46),,2026-04-24,0
2026-04-26,235,51170654, 624.00, 0.00, 624.00, 624.00,( 6.86), 0.00, 616.04,8488076035,8488076035,,2,2026-04-29,BENITO,( 1.10),,2026-04-26,0
2026-04-24,84,51170946, 180.00, 0.00, 180.00, 180.00,( 1.98), 0.00, 177.70,8489189027,8489189027,,1,2026-04-29,AVENIDA CENTRAL,( 0.32),,2026-04-25,0
2026-04-26,85,51170946," 1,393.76", 0.00," 1,393.76"," 1,393.76",( 15.33), 0.00," 1,375.98",8489189027,8489189027,,2,2026-04-29,AVENIDA CENTRAL,( 2.45),,2026-04-26,0
2026-04-23,48,51170947, 600.00, 0.00, 600.00, 600.00,( 6.60), 0.00, 592.34,8489189068,8489189068,,1,2026-04-29,SUBTENIENTE,( 1.06),,2026-04-24,0
2026-04-24,49,51170947," 1,420.04", 0.00," 1,420.04"," 1,420.04",( 15.62), 0.00," 1,401.92",8489189068,8489189068,,1,2026-04-29,SUBTENIENTE,( 2.50),,2026-04-24,0
2026-04-26,50,51170947," 7,831.81", 0.00," 7,831.81"," 7,831.81",( 86.15), 0.00," 7,731.88",8489189068,8489189068,,12,2026-04-29,SUBTENIENTE,( 13.78),,2026-04-26,0
2026-04-25,38,51170948," 1,841.04", 0.00," 1,841.04"," 1,841.04",( 20.25), 0.00," 1,817.55",8489189142,8489189142,,2,2026-04-29,CASA DE JUSTICIA,( 3.24),,2026-04-26,0
2026-04-26,39,51170948, 867.47, 0.00, 867.47, 867.47,( 9.54), 0.00, 856.40,8489189142,8489189142,,1,2026-04-29,CASA DE JUSTICIA,( 1.53),,2026-04-26,0
2026-04-24,1,51170986," 1,598.75", 0.00," 1,598.75"," 1,598.75",( 17.59), 0.00," 1,578.35",8489278820,8489278820,,1,2026-04-29,FRONTERA,( 2.81),,2026-04-25,0
2026-04-25,2,51170986," 1,200.46", 0.00," 1,200.46"," 1,200.46",( 13.21), 0.00," 1,185.14",8489278820,8489278820,,1,2026-04-29,FRONTERA,( 2.11),,2026-04-25,0
2026-04-22,1473,31145902," 5,280.79", 0.00," 5,280.79"," 5,280.79",( 58.09), 0.00," 5,213.41",7464542802,7464542802,,7,2026-04-28,BOLICHE,( 9.29),,2026-04-23,0
2026-04-23,1474,31145902," 3,935.13", 0.00," 3,935.13"," 3,935.13",( 43.29), 0.00," 3,884.91",7464542802,7464542802,,4,2026-04-28,BOLICHE,( 6.93),,2026-04-23,0
2026-04-23,1475,31145902," 5,920.91", 0.00," 5,920.91"," 5,920.91",( 65.13), 0.00," 5,845.36",7464542802,7464542802,,6,2026-04-28,BOLICHE,( 10.42),,2026-04-23,0
2026-04-22,110,31147306," 3,737.41", 0.00," 3,737.41"," 3,737.41",( 41.11), 0.00," 3,689.72",7469540645,7469540645,,2,2026-04-28,CHAMPOTON MALECON,( 6.58),,2026-04-23,0
2026-04-22,70,41146599, 500.00, 0.00, 500.00, 500.00,( 5.50), 0.00, 493.62,8487957920,8487957920,,1,2026-04-28,KANISTE,( 0.88),,2026-04-23,0
2026-04-22,115,41146600, 719.70, 0.00, 719.70, 719.70,( 7.92), 0.00, 710.51,8487957953,8487957953,,1,2026-04-28,CHAMPOTON 2,( 1.27),,2026-04-23,0
2026-04-22,108,41146624," 4,774.59", 0.00," 4,774.59"," 4,774.59",( 52.52), 0.00," 4,713.67",8488075888,8488075888,,4,2026-04-28,NOVIA DEL MAR,( 8.40),,2026-04-23,0
2026-04-23,109,41146624," 7,806.86", 0.00," 7,806.86"," 7,806.86",( 85.88), 0.00," 7,707.24",8488075888,8488075888,,6,2026-04-28,NOVIA DEL MAR,( 13.74),,2026-04-23,0
2026-04-23,111,41146626," 1,838.87", 0.00," 1,838.87"," 1,838.87",( 20.23), 0.00," 1,815.40",8488075995,8488075995,,1,2026-04-28,CHETUMAL PLAZA,( 3.24),,2026-04-24,0
2026-04-23,233,41146627, 500.00, 0.00, 500.00, 500.00,( 5.50), 0.00, 493.62,8488076035,8488076035,,1,2026-04-28,BENITO,( 0.88),,2026-04-23,0
2026-04-23,83,41146847," 1,418.98", 0.00," 1,418.98"," 1,418.98",( 15.61), 0.00," 1,400.87",8489189027,8489189027,,1,2026-04-28,AVENIDA CENTRAL,( 2.50),,2026-04-23,0
2026-04-22,47,41146848," 3,635.48", 0.00," 3,635.48"," 3,635.48",( 39.99), 0.00," 3,589.09",8489189068,8489189068,,5,2026-04-28,SUBTENIENTE,( 6.40),,2026-04-23,0
2026-04-22,1471,31136850," 2,250.95", 0.00," 2,250.95"," 2,250.95",( 24.76), 0.00," 2,222.23",7464542802,7464542802,,1,2026-04-27,BOLICHE,( 3.96),,2026-04-22,0
2026-04-22,1472,31136850," 10,348.73", 0.00," 10,348.73"," 10,348.73",( 113.84), 0.00," 10,216.68",7464542802,7464542802,,9,2026-04-27,BOLICHE,( 18.21),,2026-04-22,0
2026-04-21,50,31138485," 4,456.01", 0.00," 4,456.01"," 4,456.01",( 49.02), 0.00," 4,399.15",7469546899,7469546899,,2,2026-04-27,PUERTO REAL,( 7.84),,2026-04-22,0
2026-04-21,68,51130024, 599.75, 0.00, 599.75, 599.75,( 6.60), 0.00, 592.09,8487957920,8487957920,,1,2026-04-27,KANISTE,( 1.06),,2026-04-22,0
2026-04-22,69,51130024," 1,298.12", 0.00," 1,298.12"," 1,298.12",( 14.28), 0.00," 1,281.56",8487957920,8487957920,,1,2026-04-27,KANISTE,( 2.28),,2026-04-22,0
2026-04-21,107,51130040," 1,027.73", 0.00," 1,027.73"," 1,027.73",( 11.31), 0.00," 1,014.61",8488075888,8488075888,,2,2026-04-27,NOVIA DEL MAR,( 1.81),,2026-04-22,0
2026-04-22,231,51130042," 1,009.64", 0.00," 1,009.64"," 1,009.64",( 11.11), 0.00, 996.75,8488076035,8488076035,,1,2026-04-27,BENITO,( 1.78),,2026-04-22,0
2026-04-22,232,51130042," 2,123.47", 0.00," 2,123.47"," 2,123.47",( 23.36), 0.00," 2,096.37",8488076035,8488076035,,2,2026-04-27,BENITO,( 3.74),,2026-04-22,0
2026-04-22,82,51130282," 1,300.00", 0.00," 1,300.00"," 1,300.00",( 14.30), 0.00," 1,283.41",8489189027,8489189027,,2,2026-04-27,AVENIDA CENTRAL,( 2.29),,2026-04-22,0
2026-04-21,37,51130283, 858.81, 0.00, 858.81, 858.81,( 9.45), 0.00, 847.85,8489189142,8489189142,,1,2026-04-27,CASA DE JUSTICIA,( 1.51),,2026-04-22,0
2026-04-22,136,51130305, 900.19, 0.00, 900.19, 900.19,( 9.90), 0.00, 888.71,8489278671,8489278671,,1,2026-04-27,KIN HA,( 1.58),,2026-04-22,0
2026-04-21,369,51130306," 5,383.83", 0.00," 5,383.83"," 5,383.83",( 59.22), 0.00," 5,315.13",8489278820,8489278820,,2,2026-04-27,FRONTERA,( 9.48),,2026-04-22,0
2026-04-21,1469,31125935," 8,387.61", 0.00," 8,387.61"," 8,387.61",( 92.26), 0.00," 8,280.59",7464542802,7464542802,,8,2026-04-24,BOLICHE,( 14.76),,2026-04-21,0
2026-04-21,1470,31125935," 2,697.27", 0.00," 2,697.27"," 2,697.27",( 29.67), 0.00," 2,662.85",7464542802,7464542802,,3,2026-04-24,BOLICHE,( 4.75),,2026-04-22,0
2026-04-20,66,41126698," 1,451.80", 0.00," 1,451.80"," 1,451.80",( 15.97), 0.00," 1,433.27",8487957920,8487957920,,1,2026-04-24,KANISTE,( 2.56),,2026-04-21,0
2026-04-21,67,41126698, 500.00, 0.00, 500.00, 500.00,( 5.50), 0.00, 493.62,8487957920,8487957920,,1,2026-04-24,KANISTE,( 0.88),,2026-04-21,0
2026-04-21,106,41126715, 500.00, 0.00, 500.00, 500.00,( 5.50), 0.00, 493.62,8488075888,8488075888,,1,2026-04-24,NOVIA DEL MAR,( 0.88),,2026-04-21,0
2026-04-21,36,41126925," 2,643.13", 0.00," 2,643.13"," 2,643.13",( 29.07), 0.00," 2,609.41",8489189142,8489189142,,1,2026-04-24,CASA DE JUSTICIA,( 4.65),,2026-04-21,0
2026-04-21,368,41126945," 30,000.00", 0.00," 30,000.00"," 30,000.00",( 330.00), 0.00," 29,617.20",8489278820,8489278820,,1,2026-04-24,FRONTERA,( 52.80),,2026-04-21,0
2026-04-20,1467,31115901," 14,374.47", 0.00," 14,374.47"," 14,374.47",( 158.12), 0.00," 14,191.05",7464542802,7464542802,,13,2026-04-23,BOLICHE,( 25.30),,2026-04-20,0
