Estado de cuenta del comerciante,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Envíos totales,"MXN$ 315,072.11",,,,,,,,,,,,,
Cargos totales,"MXN$ 315,072.11",,,,,,,,,,,,,
Créditos totales,--,,,,,,,,,,,,,
Descuentos,(MXN$ 315.13),,,,,,,,,,,,,
Cuotas e incentivos,--,,,,,,,,,,,,,
IVA,(MXN$ 50.38),,,,,,,,,,,,,
Monto total de la resolución,"MXN$ 314,706.60",,,,,,,,,,,,,
,,,,,,,,,,,,,,
Tipo de informe,Pagos ,,,,,,,,,,,,,
Sucursal(es) buscada(s),Todas las sucursales,,,,,,,,,,,,,
Búsqueda por fechas,01/06/2026 - 18/06/2026,,,,,,,,,,,,,
Generados,08/06/2026 16:02,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Pagos ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Fecha de pago,Número de Pago,Cargos totales,Créditos,Monto del envío,Monto del descuento,Cuotas e incentivos,Contracargos,Ajustes,Monto del pago,Monto pagado al banco,Número de establecimiento receptor del pago,N.° de cuenta bancaria,Alias del receptor del pago,Fondos Retenidos
10/06/2026,31597575,"MXN$ 36,903.86",MXN$ 0.00,"MXN$ 36,903.86",(MXN$ 36.91),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 36,861.04","MXN$ 36,861.04",7464542802,XXXXXXXXXXXXXXXXX715,,MXN$ 0.00
10/06/2026,31599404,"MXN$ 1,451.77",MXN$ 0.00,"MXN$ 1,451.77",(MXN$ 1.45),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 1,450.09","MXN$ 1,450.09",7469540645,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
10/06/2026,31599433,"MXN$ 1,129.62",MXN$ 0.00,"MXN$ 1,129.62",(MXN$ 1.13),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"1,128.31","MXN$ 1,128.31",7469546899,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
10/06/2026,51591812,"MXN$ 6,375.64",MXN$ 0.00,"MXN$ 6,375.64",(MXN$ 6.37),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 6,368.25","MXN$ 6,368.25",8487957920,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
10/06/2026,51591848,"MXN$ 10,350.63",MXN$ 0.00,"MXN$ 10,350.63",(MXN$ 10.35),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 10,338.62","MXN$ 10,338.62",8488075888,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
10/06/2026,51591849,MXN$ 769.24,MXN$ 0.00,MXN$ 769.24,(MXN$ 0.77),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 768.35,MXN$ 768.35,8488075961,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
10/06/2026,51591851,"MXN$ 2,479.58",MXN$ 0.00,"MXN$ 2,479.58",(MXN$ 2.48),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 2,476.70","MXN$ 2,476.70",8488075995,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
10/06/2026,51591852,"MXN$ 6,843.19",MXN$ 0.00,"MXN$ 6,843.19",(MXN$ 6.85),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 6,835.25","MXN$ 6,835.25",8488076035,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
10/06/2026,51592139,"MXN$ 2,139.88",MXN$ 0.00,"MXN$ 2,139.88",(MXN$ 2.14),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 2,137.40","MXN$ 2,137.40",8489189027,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
10/06/2026,51592140,"MXN$ 5,622.14",MXN$ 0.00,"MXN$ 5,622.14",(MXN$ 5.62),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 5,615.62","MXN$ 5,615.62",8489189068,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
10/06/2026,51592141,"MXN$ 7,506.10",MXN$ 0.00,"MXN$ 7,506.10",(MXN$ 7.51),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 7,497.39","MXN$ 7,497.39",8489189142,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
10/06/2026,51592180,MXN$ 996.25,MXN$ 0.00,MXN$ 996.25,(MXN$ 1.00),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 995.09,MXN$ 995.09,8489278671,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
10/06/2026,51592181,"MXN$ 4,932.75",MXN$ 0.00,"MXN$ 4,932.75",(MXN$ 4.93),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 4,927.03","MXN$ 4,927.03",8489278820,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
09/06/2026,31566698,"MXN$ 10,785.08",MXN$ 0.00,"MXN$ 10,785.08",(MXN$ 10.79),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 10,772.57","MXN$ 10,772.57",7464542802,XXXXXXXXXXXXXXXXX715,,MXN$ 0.00
09/06/2026,41568514,"MXN$ 1,841.65",MXN$ 0.00,"MXN$ 1,841.65",(MXN$ 1.84),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 1,839.52","MXN$ 1,839.52",8488075888,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
09/06/2026,41568516,"MXN$ 2,000.00",MXN$ 0.00,"MXN$ 2,000.00",(MXN$ 2.00),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 1,997.68","MXN$ 1,997.68",8488075995,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
09/06/2026,41568517,MXN$ 123.40,MXN$ 0.00,MXN$ 123.40,(MXN$ 0.12),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 123.26,MXN$ 123.26,8488076035,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
09/06/2026,41568753,MXN$ 300.00,MXN$ 0.00,MXN$ 300.00,(MXN$ 0.30),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 299.65,MXN$ 299.65,8489189027,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
09/06/2026,41568754,MXN$ 500.00,MXN$ 0.00,MXN$ 500.00,(MXN$ 0.50),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 499.42,MXN$ 499.42,8489189068,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
09/06/2026,41568755,MXN$ 653.96,MXN$ 0.00,MXN$ 653.96,(MXN$ 0.65),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 653.21,MXN$ 653.21,8489189142,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
09/06/2026,41568770,MXN$ 635.81,MXN$ 0.00,MXN$ 635.81,(MXN$ 0.64),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 635.07,MXN$ 635.07,8489278671,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
08/06/2026,31558234,"MXN$ 12,113.92",MXN$ 0.00,"MXN$ 12,113.92",(MXN$ 12.12),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 12,099.86","MXN$ 12,099.86",7464542802,XXXXXXXXXXXXXXXXX715,,MXN$ 0.00
08/06/2026,41550243,"MXN$ 1,571.35",MXN$ 0.00,"MXN$ 1,571.35",(MXN$ 1.57),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 1,569.53","MXN$ 1,569.53",7469540645,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
08/06/2026,51553709,"MXN$ 1,000.00",MXN$ 0.00,"MXN$ 1,000.00",(MXN$ 1.00),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 998.84,MXN$ 998.84,8487957920,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
08/06/2026,51553710,"MXN$ 1,348.53",MXN$ 0.00,"MXN$ 1,348.53",(MXN$ 1.35),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 1,346.96","MXN$ 1,346.96",8487957995,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
08/06/2026,51553733,"MXN$ 3,740.16",MXN$ 0.00,"MXN$ 3,740.16",(MXN$ 3.74),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 3,735.82","MXN$ 3,735.82",8488075888,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
08/06/2026,51553735,"MXN$ 1,184.67",MXN$ 0.00,"MXN$ 1,184.67",(MXN$ 1.18),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 1,183.30","MXN$ 1,183.30",8488075995,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
08/06/2026,51553996,"MXN$ 1,926.11",MXN$ 0.00,"MXN$ 1,926.11",(MXN$ 1.93),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 1,923.87","MXN$ 1,923.87",8489189027,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
08/06/2026,51553997,"MXN$ 1,476.64",MXN$ 0.00,"MXN$ 1,476.64",(MXN$ 1.48),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 1,474.92","MXN$ 1,474.92",8489189050,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
08/06/2026,51554023,"MXN$ 1,915.75",MXN$ 0.00,"MXN$ 1,915.75",(MXN$ 1.92),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 1,913.52","MXN$ 1,913.52",8489278671,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
05/06/2026,31546635,"MXN$ 9,493.35",MXN$ 0.00,"MXN$ 9,493.35",(MXN$ 9.50),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 9,482.33","MXN$ 9,482.33",7464542802,XXXXXXXXXXXXXXXXX715,,MXN$ 0.00
05/06/2026,31548280,MXN$ 400.00,MXN$ 0.00,MXN$ 400.00,(MXN$ 0.40),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,399.54,MXN$ 399.54,7469546899,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
05/06/2026,41548170,"MXN$ 1,000.14",MXN$ 0.00,"MXN$ 1,000.14",(MXN$ 1.00),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 998.98,MXN$ 998.98,8487957920,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
05/06/2026,41548184,MXN$ 500.00,MXN$ 0.00,MXN$ 500.00,(MXN$ 0.50),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 499.42,MXN$ 499.42,8488075888,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
05/06/2026,41548185,"MXN$ 1,000.65",MXN$ 0.00,"MXN$ 1,000.65",(MXN$ 1.00),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 999.49,MXN$ 999.49,8488075961,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
05/06/2026,41548404,"MXN$ 1,200.00",MXN$ 0.00,"MXN$ 1,200.00",(MXN$ 1.20),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 1,198.61","MXN$ 1,198.61",8489189142,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
05/06/2026,41548424,"MXN$ 30,000.00",MXN$ 0.00,"MXN$ 30,000.00",(MXN$ 30.00),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 29,965.20","MXN$ 29,965.20",8489278820,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
04/06/2026,31538767,"MXN$ 10,206.17",MXN$ 0.00,"MXN$ 10,206.17",(MXN$ 10.21),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 10,194.33","MXN$ 10,194.33",7464542802,XXXXXXXXXXXXXXXXX715,,MXN$ 0.00
04/06/2026,41531027,MXN$ 827.70,MXN$ 0.00,MXN$ 827.70,(MXN$ 0.83),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 826.74,MXN$ 826.74,7469546899,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
04/06/2026,51533637,"MXN$ 1,200.00",MXN$ 0.00,"MXN$ 1,200.00",(MXN$ 1.20),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 1,198.61","MXN$ 1,198.61",8487957920,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
04/06/2026,51533667,"MXN$ 2,030.12",MXN$ 0.00,"MXN$ 2,030.12",(MXN$ 2.03),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 2,027.77","MXN$ 2,027.77",8488075888,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
04/06/2026,51533669,"MXN$ 2,327.82",MXN$ 0.00,"MXN$ 2,327.82",(MXN$ 2.33),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 2,325.12","MXN$ 2,325.12",8488075995,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
04/06/2026,51533670,MXN$ 551.80,MXN$ 0.00,MXN$ 551.80,(MXN$ 0.55),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 551.16,MXN$ 551.16,8488076035,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
04/06/2026,51533966,"MXN$ 2,700.05",MXN$ 0.00,"MXN$ 2,700.05",(MXN$ 2.70),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 2,696.92","MXN$ 2,696.92",8489189068,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
03/06/2026,31526887,"MXN$ 22,981.22",MXN$ 0.00,"MXN$ 22,981.22",(MXN$ 22.99),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 22,954.55","MXN$ 22,954.55",7464542802,XXXXXXXXXXXXXXXXX715,,MXN$ 0.00
03/06/2026,31526888,MXN$ 857.70,MXN$ 0.00,MXN$ 857.70,(MXN$ 0.86),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 856.70,MXN$ 856.70,7464542810,XXXXXXXXXXXXXXXXX715,,MXN$ 0.00
03/06/2026,31528525,"MXN$ 2,108.86",MXN$ 0.00,"MXN$ 2,108.86",(MXN$ 2.11),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 2,106.42","MXN$ 2,106.42",7469540645,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
03/06/2026,31528549,"MXN$ 1,962.87",MXN$ 0.00,"MXN$ 1,962.87",(MXN$ 1.96),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"1,960.60","MXN$ 1,960.60",7469546899,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
03/06/2026,51520414,MXN$ 943.08,MXN$ 0.00,MXN$ 943.08,(MXN$ 0.94),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 941.99,MXN$ 941.99,8487957920,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
03/06/2026,51520443,MXN$ 715.89,MXN$ 0.00,MXN$ 715.89,(MXN$ 0.72),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 715.06,MXN$ 715.06,8488075847,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
03/06/2026,51520444,"MXN$ 7,222.29",MXN$ 0.00,"MXN$ 7,222.29",(MXN$ 7.21),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 7,213.94","MXN$ 7,213.94",8488075888,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
03/06/2026,51520446,"MXN$ 2,827.15",MXN$ 0.00,"MXN$ 2,827.15",(MXN$ 2.83),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 2,823.87","MXN$ 2,823.87",8488075995,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
03/06/2026,51520447,MXN$ 850.00,MXN$ 0.00,MXN$ 850.00,(MXN$ 0.85),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 849.01,MXN$ 849.01,8488076035,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
03/06/2026,51520736,"MXN$ 4,970.07",MXN$ 0.00,"MXN$ 4,970.07",(MXN$ 4.97),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 4,964.31","MXN$ 4,964.31",8489189027,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
03/06/2026,51520765,MXN$ 497.90,MXN$ 0.00,MXN$ 497.90,(MXN$ 0.50),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 497.32,MXN$ 497.32,8489278671,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
03/06/2026,51520766,"MXN$ 3,967.50",MXN$ 0.00,"MXN$ 3,967.50",(MXN$ 3.97),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 3,962.89","MXN$ 3,962.89",8489278820,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
02/06/2026,31495705,"MXN$ 10,370.73",MXN$ 0.00,"MXN$ 10,370.73",(MXN$ 10.37),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 10,358.70","MXN$ 10,358.70",7464542802,XXXXXXXXXXXXXXXXX715,,MXN$ 0.00
02/06/2026,31497062,"MXN$ 1,531.31",MXN$ 0.00,"MXN$ 1,531.31",(MXN$ 1.53),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 1,529.53","MXN$ 1,529.53",7469540645,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
02/06/2026,41496589,"MXN$ 1,988.55",MXN$ 0.00,"MXN$ 1,988.55",(MXN$ 1.99),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 1,986.24","MXN$ 1,986.24",8487957920,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
02/06/2026,41496603,MXN$ 400.00,MXN$ 0.00,MXN$ 400.00,(MXN$ 0.40),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 399.54,MXN$ 399.54,8488075888,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
02/06/2026,41496605,"MXN$ 1,199.50",MXN$ 0.00,"MXN$ 1,199.50",(MXN$ 1.20),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 1,198.11","MXN$ 1,198.11",8488075995,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
02/06/2026,41496606,"MXN$ 1,365.80",MXN$ 0.00,"MXN$ 1,365.80",(MXN$ 1.37),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 1,364.21","MXN$ 1,364.21",8488076035,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
01/06/2026,31486560,"MXN$ 16,104.19",MXN$ 0.00,"MXN$ 16,104.19",(MXN$ 16.11),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 16,085.50","MXN$ 16,085.50",7464542802,XXXXXXXXXXXXXXXXX715,,MXN$ 0.00
01/06/2026,41489399,MXN$ 786.20,MXN$ 0.00,MXN$ 786.20,(MXN$ 0.79),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,MXN$ 785.28,MXN$ 785.28,8488075888,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
01/06/2026,41489401,"MXN$ 2,818.06",MXN$ 0.00,"MXN$ 2,818.06",(MXN$ 2.82),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 2,814.79","MXN$ 2,814.79",8488076035,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
01/06/2026,41489633,"MXN$ 1,629.18",MXN$ 0.00,"MXN$ 1,629.18",(MXN$ 1.63),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 1,627.29","MXN$ 1,627.29",8489189142,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
01/06/2026,41489645,"MXN$ 32,918.58",MXN$ 0.00,"MXN$ 32,918.58",(MXN$ 32.92),MXN$ 0.00,MXN$ 0.00,MXN$ 0.00,"MXN$ 32,880.39","MXN$ 32,880.39",8489278820,XXXXXXXXXXXXXXXXX205,,MXN$ 0.00
